Participant_ID,Name,College,State,Sport,Day,Date,Time,Performance,Feedback
CHRP001,Allison Hill,Symbiosis Institute,Karnataka,Tennis,Day 2,2025-03-26,12:15,Excellent,"As a Tennis player, I felt the venue was below standard and inadequate."
CHRP002,Noah Rhodes,Loyola College,Delhi,Athletics,Day 5,2025-03-29,09:15,Below Average,Really enjoyed participating in Athletics. The facilities was particularly superb.
CHRP003,Angie Henderson,NIT Trichy,West Bengal,Badminton,Day 3,2025-03-27,11:15,Excellent,The Badminton event needs better organization. Found it rather inadequate.
CHRP004,Daniel Wagner,Manipal Institute,Gujarat,Tennis,Day 1,2025-03-25,16:00,Excellent,"As a Tennis enthusiast, I found the tournament to be spectacular and spectacular."
CHRP005,Cristian Santos,IIT Madras,Tamil Nadu,Basketball,Day 2,2025-03-26,13:00,Excellent,Not satisfied with the Basketball event organization. The participant management was disorganized.
CHRP006,Connie Lawrence,Manipal Institute,Maharashtra,Badminton,Day 3,2025-03-27,12:30,Good,"As a Badminton player, I felt the scheduling was below standard and subpar."
CHRP007,Abigail Shaffer,KIIT University,West Bengal,Tennis,Day 5,2025-03-29,12:30,Good,The Tennis event needs better equipment. Found it rather lackluster.
CHRP008,Gina Moore,Amity University,Tamil Nadu,Athletics,Day 5,2025-03-29,14:15,Below Average,Great experience at the Athletics event. The facilities exceeded my expectations.
CHRP009,Gabrielle Davis,SRM University,Punjab,Table Tennis,Day 3,2025-03-27,15:45,Good,Disappointed with the participant management during the Table Tennis competition. It was poor.
CHRP010,Ryan Munoz,Christ University,Tamil Nadu,Swimming,Day 2,2025-03-26,15:00,Below Average,"As a Swimming enthusiast, I found the tournament to be superb and superb."
CHRP011,Monica Herrera,St. Xavier's College,Tamil Nadu,Table Tennis,Day 3,2025-03-27,14:00,Below Average,Disappointed with the venue during the Table Tennis competition. It was inadequate.
CHRP012,Jamie Arnold,Amity University,Punjab,Swimming,Day 5,2025-03-29,10:30,Good,Really enjoyed participating in Swimming. The officiating was particularly wonderful.
CHRP013,Lisa Hensley,St. Xavier's College,Gujarat,Badminton,Day 4,2025-03-28,09:00,Average,Disappointed with the scheduling during the Badminton competition. It was disappointing.
CHRP014,Michele Williams,Loyola College,Tamil Nadu,Chess,Day 1,2025-03-25,17:15,Below Average,"As a Chess player, I felt the facilities was below standard and frustrating."
CHRP015,Dylan Miller,Mount Carmel College,Delhi,Table Tennis,Day 2,2025-03-26,13:45,Below Average,"As a Table Tennis player, I felt the organization was below standard and inadequate."
CHRP016,Brian Ramirez,SRM University,Tamil Nadu,Badminton,Day 1,2025-03-25,17:15,Good,The Badminton event was extremely well-organized. Loved the excellent atmosphere!
